Region,Month,Year,Utility,Usage
Full Campus,July,2008,Electric,1989700
Full Campus,August,2008,Electric,1882841
Full Campus,September,2008,Electric,2263423
Full Campus,October,2008,Electric,2012251
Full Campus,November,2008,Electric,1921125
Full Campus,December,2008,Electric,1931999
Full Campus,January,2009,Electric,1760476
Full Campus,February,2009,Electric,1846148
Full Campus,March,2009,Electric,1721543
Full Campus,April,2009,Electric,1888555
Full Campus,May,2009,Electric,2069430
Full Campus,June,2009,Electric,1758962
Full Campus,July,2009,Electric,1862350
Full Campus,August,2009,Electric,2078676
Full Campus,September,2009,Electric,2200638
Full Campus,October,2009,Electric,1939571
Full Campus,November,2009,Electric,1861881
Full Campus,December,2009,Electric,1902866
Full Campus,January,2010,Electric,1799346
Full Campus,February,2010,Electric,1814183
Full Campus,March,2010,Electric,1716435
Full Campus,April,2010,Electric,2052658
Full Campus,May,2010,Electric,1783085
Full Campus,June,2010,Electric,1845231
Full Campus,July,2010,Electric,2005396
Full Campus,August,2010,Electric,1870265
Full Campus,September,2010,Electric,1956230
Full Campus,October,2010,Electric,1733837
Full Campus,November,2010,Electric,1893770
Full Campus,December,2010,Electric,1950335
Full Campus,January,2011,Electric,1640800
Full Campus,February,2011,Electric,1824688
Full Campus,March,2011,Electric,1673226
Full Campus,April,2011,Electric,1956167
Full Campus,May,2011,Electric,1694865
Full Campus,June,2011,Electric,1848929
Full Campus,July,2011,Electric,2084154
Full Campus,August,2011,Electric,1932651
Full Campus,September,2011,Electric,2105080
Full Campus,October,2011,Electric,1932230
Full Campus,November,2011,Electric,1748311
Full Campus,December,2011,Electric,1945066
Full Campus,January,2012,Electric,1574582
Full Campus,February,2012,Electric,1818768
Full Campus,March,2012,Electric,1891908
Full Campus,April,2012,Electric,1885181
Full Campus,May,2012,Electric,1747259
Full Campus,June,2012,Electric,1858361
Full Campus,July,2012,Electric,1561365
Full Campus,August,2012,Electric,1937567
Full Campus,September,2012,Electric,2274997
Full Campus,October,2012,Electric,1771545
Full Campus,November,2012,Electric,1700037
Full Campus,December,2012,Electric,1982598
Full Campus,January,2013,Electric,1618948
Full Campus,February,2013,Electric,1894172
Full Campus,March,2013,Electric,1600940
Full Campus,April,2013,Electric,1791766
Full Campus,May,2013,Electric,1566996
Full Campus,June,2013,Electric,1747465
Full Campus,July,2013,Electric,1925494
Full Campus,August,2013,Electric,1663845
Full Campus,September,2013,Electric,2206014
Full Campus,October,2013,Electric,1846801
Full Campus,November,2013,Electric,1802803
Full Campus,December,2013,Electric,1961496
Full Campus,January,2014,Electric,1663926
Full Campus,February,2014,Electric,1855473
Full Campus,March,2014,Electric,1685170
Full Campus,April,2014,Electric,1890458
Full Campus,May,2014,Electric,1932586
Full Campus,June,2014,Electric,1795958
Full Campus,July,2014,Electric,1840604
Full Campus,August,2014,Electric,1814202
Full Campus,September,2014,Electric,2035029
Full Campus,October,2014,Electric,1769762
Full Campus,November,2014,Electric,1734159
Full Campus,December,2014,Electric,1792759
Full Campus,January,2015,Electric,1631076
Full Campus,February,2015,Electric,1755449
Full Campus,March,2015,Electric,1574331
Full Campus,April,2015,Electric,1819399
Full Campus,May,2015,Electric,1688882
Full Campus,June,2015,Electric,1679855
Full Campus,July,2015,Electric,1745060
Full Campus,August,2015,Electric,1549944
Full Campus,September,2015,Electric,1875144
Full Campus,October,2015,Electric,1609028
Full Campus,November,2015,Electric,1653364
Full Campus,December,2015,Electric,1649389
Full Campus,January,2016,Electric,1360549
Full Campus,February,2016,Electric,1586609
Full Campus,March,2016,Electric,1554973
Full Campus,April,2016,Electric,1483946
Full Campus,May,2016,Electric,1378186
Full Campus,June,2016,Electric,1468311
Full Campus,July,2016,Electric,1603711
Full Campus,August,2016,Electric,1591085
Full Campus,September,2016,Electric,1938149
Full Campus,October,2016,Electric,1760986
Full Campus,November,2016,Electric,1473884
Full Campus,December,2016,Electric,1698875
Full Campus,January,2017,Electric,1317689
Full Campus,February,2017,Electric,1520701
Full Campus,March,2017,Electric,1477124
Full Campus,April,2017,Electric,1490420
Full Campus,May,2017,Electric,1447866
Full Campus,June,2017,Electric,1561870
Full Campus,July,2017,Electric,1685316
Full Campus,August,2017,Electric,1506854
Full Campus,September,2017,Electric,2742629
Full Campus,October,2017,Electric,1388944
Full Campus,November,2017,Electric,1114805
Full Campus,December,2017,Electric,1494056
Full Campus,January,2018,Electric,1330339
Full Campus,February,2018,Electric,1432968
Full Campus,March,2018,Electric,1461882
Full Campus,April,2018,Electric,1447492
Full Campus,May,2018,Electric,1625191
Full Campus,June,2018,Electric,1666616
Full Campus,July,2018,Electric,2035564
Full Campus,August,2018,Electric,2341193
Full Campus,September,2018,Electric,2092035
Full Campus,October,2018,Electric,1686535
Full Campus,November,2018,Electric,1595072
Full Campus,December,2018,Electric,1555158
Full Campus,January,2019,Electric,1313613
Full Campus,February,2019,Electric,1754115
Full Campus,March,2019,Electric,1533107
Full Campus,April,2019,Electric,1954903
Full Campus,May,2019,Electric,1996366
Full Campus,June,2019,Electric,1778521
Full Campus,July,2008,Water,2431
Full Campus,August,2008,Water,2382
Full Campus,September,2008,Water,3702
Full Campus,October,2008,Water,5752
Full Campus,November,2008,Water,3780
Full Campus,December,2008,Water,3077
Full Campus,January,2009,Water,2905
Full Campus,February,2009,Water,4000
